state,postcode,name,region
VIC,3000,MELBOURNE,MELBOURNE CITY
VIC,3001,MELBOURNE,MELBOURNE CITY
VIC,3002,EAST MELBOURNE,MELBOURNE CITY
VIC,3003,WEST MELBOURNE,MELBOURNE CITY
VIC,3004,MELBOURNE,MELBOURNE CITY
VIC,3006,SOUTH WHARF,MOORABBIN
VIC,3006,SOUTHBANK,MOORABBIN
VIC,3008,DOCKLANDS,MELBOURNE CITY
VIC,3010,UNIVERSITY OF MELBOURNE,MELBOURNE CITY
VIC,3011,FOOTSCRAY,FOOTSCRAY
VIC,3011,SEDDON,FOOTSCRAY
VIC,3011,SEDDON WEST,FOOTSCRAY
VIC,3012,BROOKLYN,FOOTSCRAY
VIC,3012,KINGSVILLE,FOOTSCRAY
VIC,3012,MAIDSTONE,FOOTSCRAY
VIC,3012,TOTTENHAM,FOOTSCRAY
VIC,3012,WEST FOOTSCRAY,FOOTSCRAY
VIC,3013,YARRAVILLE,FOOTSCRAY
VIC,3015,NEWPORT,FOOTSCRAY
VIC,3015,SOUTH KINGSVILLE,FOOTSCRAY
VIC,3015,SPOTSWOOD,FOOTSCRAY
VIC,3016,WILLIAMSTOWN,FOOTSCRAY
VIC,3016,WILLIAMSTOWN NORTH,FOOTSCRAY
VIC,3018,ALTONA,FOOTSCRAY
VIC,3018,SEAHOLME,FOOTSCRAY
VIC,3019,BRAYBROOK,FOOTSCRAY
VIC,3019,ROBINSON,FOOTSCRAY
VIC,3020,ALBION,FOOTSCRAY
VIC,3020,SUNSHINE,FOOTSCRAY
VIC,3020,SUNSHINE NORTH,FOOTSCRAY
VIC,3020,SUNSHINE WEST,FOOTSCRAY
VIC,3021,ALBANVALE,HAWTHORN
VIC,3021,KEALBA,HAWTHORN
VIC,3021,KINGS PARK,HAWTHORN
VIC,3021,ST ALBANS,HAWTHORN
VIC,3022,ARDEER,FOOTSCRAY
VIC,3022,DEER PARK EAST,FOOTSCRAY
VIC,3023,BURNSIDE,FOOTSCRAY
VIC,3023,BURNSIDE HEIGHTS,FOOTSCRAY
VIC,3023,CAIRNLEA,FOOTSCRAY
VIC,3023,CAROLINE SPRINGS,FOOTSCRAY
VIC,3023,DEER PARK,FOOTSCRAY
VIC,3023,DEER PARK NORTH,FOOTSCRAY
VIC,3023,RAVENHALL,FOOTSCRAY
VIC,3024,MAMBOURIN,MELB NORTH WEST
VIC,3024,MOUNT COTTRELL,MELB NORTH WEST
VIC,3024,WYNDHAM VALE,MELB NORTH WEST
VIC,3025,ALTONA EAST,FOOTSCRAY
VIC,3025,ALTONA GATE,FOOTSCRAY
VIC,3025,ALTONA NORTH,FOOTSCRAY
VIC,3026,LAVERTON NORTH,MELB NORTH WEST
VIC,3027,WILLIAMS LANDING,MELB NORTH WEST
VIC,3028,ALTONA MEADOWS,MELB NORTH WEST
VIC,3028,LAVERTON,MELB NORTH WEST
VIC,3028,SEABROOK,MELB NORTH WEST
VIC,3029,HOPPERS CROSSING,MELB NORTH WEST
VIC,3029,TARNEIT,MELB NORTH WEST
VIC,3029,TRUGANINA,MELB NORTH WEST
VIC,3030,COCOROC,MELB NORTH WEST
VIC,3030,DERRIMUT,MELB NORTH WEST
VIC,3030,POINT COOK,MELB NORTH WEST
VIC,3030,QUANDONG,MELB NORTH WEST
VIC,3030,WERRIBEE,MELB NORTH WEST
VIC,3030,WERRIBEE SOUTH,MELB NORTH WEST
VIC,3031,FLEMINGTON,FOOTSCRAY
VIC,3031,KENSINGTON,FOOTSCRAY
VIC,3032,ASCOT VALE,FOOTSCRAY
VIC,3032,HIGHPOINT CITY,FOOTSCRAY
VIC,3032,MARIBYRNONG,FOOTSCRAY
VIC,3032,TRAVANCORE,FOOTSCRAY
VIC,3033,KEILOR EAST,FOOTSCRAY
VIC,3034,AVONDALE HEIGHTS,FOOTSCRAY
VIC,3036,KEILOR,FOOTSCRAY
VIC,3036,KEILOR NORTH,FOOTSCRAY
VIC,3037,CALDER PARK,HAWTHORN
VIC,3037,DELAHEY,HAWTHORN
